Group.1;Group.2;x
Car260543-2018-Pass1-Z8-VC5-SM400005_tdauda.txt;Accnis;0.917
Car340526-2016-Pass1-Z4-015652_tdauda.txt;Acthyp;0.258
Car051111-2020-Pass1-Z1-X-18091597-0_tdauda.txt;Aegcau;0.772
Car191392-2017-Pass2-Z2-VC3-016647-BVE_tdauda.txt;Aegcau;0.246
Car210997-2019-Pass1-A2-20190630_tdauda.txt;Aegcau;0.603
Car291579-2019-Pass2-Z11-013740_tdauda.txt;Aegcau;0.205
Car340240-2015-Pass1-Z1-34GUI5-1_tdauda.txt;Aegcau;0.678
Car340247-2019-Pass1-Z9-015652-ETOIL_tdauda.txt;Aegcau;0.372
Car201600-2016-Pass1-Z2-VC2-016817-AJJAC_tdauda.txt;Alaarv;0.312
Car210997-2019-Pass1-A2-20190630_tdauda.txt;Alaarv;0.678
Car340133-2018-Pass1-Z16-1623-1263-0_tdauda.txt;Alaarv;0.864
Car340729-2019-Pass2-Z1-327_tdauda.txt;Alaarv;0.409
Car041499-2016-Pass1-Z1-US2102-015652_tdauda.txt;Alcatt;0.448
Car071106-2019-Pass2-A2-VC05SM400005_tdauda.txt;Alcatt;0.361
Car111202-2018-Pass2-Z1-US305-008951_tdauda.txt;Alcatt;0.737
Car171694-2018-Pass1-Z3-3B3A-SM306162_tdauda.txt;Alcatt;0.345
Car210997-2019-Pass1-A2-20190630_tdauda.txt;Alcatt;0.425
Car340133-2018-Pass1-Z16-1623-1263-0_tdauda.txt;Alcatt;0.292
Car340240-2015-Pass1-Z1-34GUI5-1_tdauda.txt;Alcatt;0.894
Car371061-2020-Pass1-Z1-PaRecPR414734_tdauda.txt;Alcatt;0.223
Car340133-2020-Pass1-Z14-9388_tdauda.txt;Anacre;0.215
Car340240-2015-Pass1-Z1-34GUI5-1_tdauda.txt;Anacre;0.182
Car100825-2019-Pass1-Z1-AM20-0_tdauda.txt;Anapla;0.517
Car041499-2016-Pass1-Z1-US2102-015652_tdauda.txt;Ansans;0.307
Car340133-2018-Pass1-Z16-1623-1263-0_tdauda.txt;Antcam;0.818
Car041499-2016-Pass1-Z1-US2102-015652_tdauda.txt;Antpra;0.639
Car050164-2019-Pass1-Z1-17131256-0_tdauda.txt;Antpra;0.263
Car071106-2019-Pass2-A2-VC05SM400005_tdauda.txt;Antpra;0.548
Car071285-2020-Pass1-C1-VC1-S4U02342_tdauda.txt;Antpra;0.762
Car071286-2020-Pass1-C1-VC1-S4U10690_tdauda.txt;Antpra;0.198
Car091174-2017-Pass1-Z1-16701_tdauda.txt;Antpra;0.681
Car110393-2020-Pass1-Z1-010278-DIG_tdauda.txt;Antpra;0.591
Car131284-2020-Pass4-Z2-14JUILLET_tdauda.txt;Antpra;0.265
Car160041-2019-Pass1-Z1-VestasV110_tdauda.txt;Antpra;0.892
Car170117-2019-Pass2-Z1-1-D500n4_tdauda.txt;Antpra;0.827
Car170818-2016-Pass1-Z19-MU101535-SM303365_tdauda.txt;Antpra;0.254
Car171619-2019-Pass1-Z2-1-S4U05038_tdauda.txt;Antpra;0.601
Car171694-2018-Pass1-Z3-3B3A-SM306162_tdauda.txt;Antpra;0.216
Car190279-2019-Pass2-Z1-U1-1_tdauda.txt;Antpra;0.238
Car200014-2018-Pass2-Z2-017607_tdauda.txt;Antpra;0.389
Car210997-2019-Pass1-A2-20190630_tdauda.txt;Antpra;0.488
Car220613-2015-Pass1-Z1-M-TEB504-003760_tdauda.txt;Antpra;0.256
Car242046-2017-Pass1-Z1-CEN2-S4U01588_tdauda.txt;Antpra;0.188
Car260543-2018-Pass1-Z8-VC5-SM400005_tdauda.txt;Antpra;0.477
Car291579-2019-Pass2-Z11-013740_tdauda.txt;Antpra;0.547
Car291658-2019-Pass2-Z1-003760_tdauda.txt;Antpra;0.616
Car300962-2020-Pass1-Z1-EDEN1_tdauda.txt;Antpra;0.253
Car320853-2018-Pass1-Z5-164R_tdauda.txt;Antpra;0.377
Car331051-2020-Pass1-Z1-VC1-1_tdauda.txt;Antpra;0.483
Car331051-2020-Pass2-Z1-VC1-1_tdauda.txt;Antpra;0.421
Car340133-2018-Pass1-Z16-1623-1263-0_tdauda.txt;Antpra;0.592
Car340133-2020-Pass1-Z14-9388_tdauda.txt;Antpra;0.432
Car340240-2015-Pass1-Z1-34GUI5-1_tdauda.txt;Antpra;0.671
Car340334-2019-Pass1-Z6-015652L_tdauda.txt;Antpra;0.309
Car340526-2016-Pass1-Z4-015652_tdauda.txt;Antpra;0.164
Car340699-2011-Pass1-Z1-0_tdauda.txt;Antpra;0.231
Car340770-2019-Pass2-Z7-MU110916-S4U08131_tdauda.txt;Antpra;0.706
Car340818-2011-Pass1-Z8-0_tdauda.txt;Antpra;0.108
Car370515-2017-Pass1-Z1-SMMU1-S4U00301_tdauda.txt;Antpra;0.323
Car370981-2018-Pass1-Z1-VC117733_tdauda.txt;Antpra;0.458
Car030612-2019-Pass2-Z1-014864-GYEON_tdauda.txt;Antspi;0.349
Car160041-2019-Pass1-Z1-VestasV110_tdauda.txt;Antspi;0.735
Car041499-2016-Pass1-Z1-US2102-015652_tdauda.txt;Apuapu;0.477
Car160041-2019-Pass1-Z1-VestasV110_tdauda.txt;Apuapu;0.206
Car191392-2017-Pass2-Z2-VC3-016647-BVE_tdauda.txt;Apuapu;0.983
Car210997-2019-Pass1-A2-20190630_tdauda.txt;Apuapu;0.898
Car211151-2020-Pass10-Z1-20200506_tdauda.txt;Apuapu;0.327
Car340240-2015-Pass1-Z1-34GUI5-1_tdauda.txt;Apuapu;0.721
Car371061-2020-Pass1-Z1-PaRecPR414734_tdauda.txt;Apuapu;0.829
Car170117-2019-Pass2-Z1-1-D500n4_tdauda.txt;Ardpur;0.358
Car100825-2019-Pass1-Z1-AM20-0_tdauda.txt;Asiotu;0.481
Car160041-2019-Pass1-Z1-VestasV110_tdauda.txt;Asiotu;0.445
Car171694-2018-Pass1-Z3-3B3A-SM306162_tdauda.txt;Asiotu;0.248
