Group.1;Group.2;x
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Regigni;0.19
Car340675-2019-Pass1-Z1-S4U07662.BirdNET.results.txt;Ripripa;0.12
Car340526-2016-Pass1-Z4-015652.BirdNET.results.txt;Serseri;0.14
Car041499-2016-Pass1-Z1-US2102-015652.BirdNET.results.txt;Spaclyp;0.12
Car041499-2016-Pass1-Z1-US2102-015652.BirdNET.results.txt;Straluc;0.19
Car071354-2019-Pass3-F1-VC1-S4U02342.BirdNET.results.txt;Straluc;0.12
Car170818-2016-Pass1-Z19-MU101535-SM303365.BirdNET.results.txt;Straluc;0.26
Car170818-2016-Pass1-Z33-MU102456-SM303365.BirdNET.results.txt;Straluc;0.17
Car221112-2015-Pass1-Z2-I-HB2007-017598.BirdNET.results.txt;Straluc;0.66
Car281464-2020-Pass1-Z1-20200731.BirdNET.results.txt;Straluc;0.34
Car300021-2018-Pass2-Z1-017334-017334.BirdNET.results.txt;Straluc;0.8
Car300427-2017-Pass1-Z1-XU101444-017508.BirdNET.results.txt;Straluc;0.1
Car300624-2019-Pass1-Z2-BL08-Aig.BirdNET.results.txt;Straluc;0.13
Car331051-2020-Pass2-Z1-VC1-1.BirdNET.results.txt;Straluc;0.11
Car210997-2019-Pass1-A2-20190630.BirdNET.results.txt;Sylatri;0.38
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Sylatri;0.12
Car340133-2020-Pass1-Z14-9388.BirdNET.results.txt;Tadtado;0.5
Car071285-2020-Pass1-C1-VC1-S4U02342.BirdNET.results.txt;Triochr;0.19
Car260543-2018-Pass1-Z8-VC5-SM400005.BirdNET.results.txt;Triochr;0.13
Car300639-2012-Pass2-Z1-la.BirdNET.results.txt;Triochr;0.22
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Trotrog;0.85
Car071285-2020-Pass1-C1-VC1-S4U02342.BirdNET.results.txt;Turmeru;0.26
Car110393-2020-Pass1-Z1-010278-DIG.BirdNET.results.txt;Turmeru;0.16
Car340240-2015-Pass1-Z1-34GUI5-1.BirdNET.results.txt;Turmeru;0.4
Car340247-2019-Pass1-Z9-015652-ETOIL.BirdNET.results.txt;Turmeru;0.5
Car110393-2020-Pass1-Z1-010278-DIG.BirdNET.results.txt;Turvisc;0.17
Car291658-2019-Pass2-Z1-003760.BirdNET.results.txt;Turvisc;0.1
