Var1;Freq
Acrpal;7
Acrsch;4
Acrsci;1
Acthyp;1
Aegcau;145
Aixgal;3
Alaarv;698
Alcatt;8
Alegra;31
Aloaeg;128
Anapla;13
Ansans;190
Antspi;2
Apuapu;1
Ardalb;13
Ardpur;2
Areint;1
Asiotu;146
Athnoc;15
Aytfer;1
Aytful;3
Bracan;1
Bubbub;744
Butbut;4
Canfam;324
Capeur;11716
Carcar;69
Cerbra;5
Cerfam;7
Cetcet;3
Chadub;1
Cicatr;7
Cicbre;124
Ciccic;53
Cicorn;76
Circya;15
Cirgal;2
Cisjun;2
Coccoc;8
Colmon;3
Coloen;32
Colpal;4
Corcor;3
Corcor2;1
Cotcot;333
Crecre;542
Cuccan;41
Cyacae;4
Cygolo;17
Denmaj;26
Drymin;186
Embcir;59
Embcit;4
Embsch;7
Epical;403
Erirub;1110
Eumbor;54
Falcol;28
Falper;1
Falsub;1
Faltin;14
Ficalb;2
Fichyp;1564
Galchl;66
Galgal;153
Grugru;1414
Grygry;13
Grysp;39756
Haeost;1
Himhim;8
Hippol;1
Homsap;558
Hylarb;72
Hylmer;1249
Laglag;25
Lagmut;1
Lararg;8
Larmar;2
Limlim;1
Loclus;23
Locnae;141
Lopcri;1
Loxcur;1
Lularb;461
Lusmeg;10281
Lyrple;19
Lyrtet;5
Mermer;13
Motcin;1
Nemsyl;2029
noise;42757
Numarq;12
Numpha;37
Nycnyc;3208
Oecpel;236
Otusco;35
Parmaj;463
Pasdom;192
Pasita;2
Pelesc;351
Pelrid;665
Phacol;12
Phofem;13
Phogri;32
Phopho;2
Phoros;7
Phybon;1
Phycol;28
Physib;75
Picpic;97
Picvir;11
Plusqu;1
Podcri;1
Poepal;82
Prucol;2
Ptehey;33
Pyrpyr;6
Recavo;9
Regign;4
Saxrub;2
Scorus;554
Serser;451
Stralu;565
Strdec;9
Strtur;1
Sylatr;140
Sylbor;1
Sylcan;1
Sylcon;1
Sylmel;2
Tadtad;27
Tettet;3
Tetvir;580
Trineb;2
Tritot;23
Trotro;3799
Turass;3
Turfla;5
Turili;337
Turleu;1
Turmer;358
Turpal;1
Turphi;1664
Turruf;18
Turvis;292
Tytalb;262
Upuepo;33
Vanvan;55
