Var1;Freq
Accgen;7
Acraru;2
Acrpal;22
Acrsch;41
Acrsci;8
Acthyp;1
Aegcau;151
Aixgal;3
Alaarv;2592
Alcatt;36
Alegra;387
Aleruf;1
Aloaeg;477
Alyobs;19
Anapla;39
Ansans;381
Antpra;12
Antspi;7
Anttri;3
Apuapu;1
Ardalb;30
Ardpur;8
Areint;3
Asiotu;225
Athnoc;50
Aytfer;2
Aytful;3
Bracan;8
Bubbub;792
Bubibi;32
Butbut;4
Calbra;4
Canfam;349
Capeur;14668
Carcar;104
Cecdau;5
Cerbra;5
Cerfam;11
Cetcet;3
Chadub;1
Chahia;1
Chlchl;6
Chlhyb;4
Chrrid;7
Cicatr;10
Cicbre;431
Ciccic;60
Cicorn;114
Cincin;1
Circya;15
Cirgal;7
Cisjun;10
Coccoc;12
Colmon;53
Coloen;39
Colpal;19
Corcor;28
Corcor2;6
Corfru;10
Cotcot;977
Crecre;552
Cuccan;52
Cyacae;9
Cygolo;20
Denmaj;29
Drymin;192
Embcir;696
Embcit;239
Embhor;1
Embmel;2
Embsch;7
Epical;970
Erirub;1231
Eumbor;69
Falcol;28
Falper;1
Falsub;3
Faltin;15
Falves;2
Ficalb;3
Fichyp;2568
Fricoe;66
Galchl;105
Galgal;282
Gligli;3
Grugru;1682
Grygry;13
Grysp;45878
Haeost;2
Himhim;31
Hippol;10
Hirrus;1
Homsap;969
Hylarb;276
Hylmer;1381
Jyntor;7
Laglag;35
Lagmut;10
Lansen;11
Lararg;55
Larcan;1
Larfus;19
Larmar;18
Limlim;1
Lincan;6
Loclus;53
Locnae;184
Lopcri;2
Loxcur;5
Lularb;552
Luslus;1
Lusmeg;12364
Lyrple;473
Lyrtet;7
Merapi;13
Mermer;20
Milmil;2
Monsax;4
Motcin;1
Nemsyl;2045
Netruf;1
noise;45662
Nuccar;2
Numarq;13
Numpha;40
Nycnyc;3533
Oecpel;406
Oriori;4
Otusco;45
Parmaj;667
Pasdom;743
Pasita;2
Pasmon;53
Pelesc;3258
Pelrid;1062
Perate;1
Phacol;20
Phofem;26
Phogri;46
Phooch;18
Phopho;15
Phoros;18
Phybon;1
Phycol;42
Physib;80
Phytro;28
Picpic;125
Picvir;12
Plaleu;8
Plusqu;2
Podcri;4
Poepal;87
Prucol;7
Ptehey;164
Pyrpyr;19
Pyrpyr2;3
Recavo;15
Regign;6
Regreg;1
Riprip;4
Saxrub;98
Scorus;722
Serser;1087
Stehir;1
Stralu;644
Strdec;54
Strtur;1
Stuvul;2
Sylatr;163
Sylbor;48
Sylcan;194
Sylcon;4
Sylcur;47
Sylhor;6
Sylmel;52
Tadtad;42
Tettet;3
Tetvir;1135
Trineb;7
Tritot;28
Trotro;4000
Turass;4
Turfla;5
Turign;1
Turili;550
Turleu;9
Turmer;1004
Turobs;2
Turpal;3
Turphi;2457
Turpil;1
Turruf;28
Turvis;512
Tytalb;270
Upuepo;81
Urorug;4
Vanvan;155
