Var1;Freq;x
Acraru;17;0.742
Acrpal;2;0.331
Acrsch;166;0.961
Acrsci;13;0.504
Acthyp;9;0.623
Aegcau;86;0.937
Aixgal;1;0.282
Alaarv;2102;0.999
Alcatt;1;0.355
Alegra;1;0.672
Aloaeg;1;0.174
Anapla;117;0.955
Ansans;40;0.872
Antpra;1738;0.997
Anttri;278;0.711
Apuapu;62;1
Ardalb;1;0.137
Ardpur;4;0.259
Areint;5;0.449
Asiotu;169;0.999
Athnoc;23;0.898
Bubbub;4368;0.997
Bubibi;3;0.328
Butbut;1466;0.988
Calbra;101;0.601
Canfam;493;0.994
Capcap;1;0.142
Capeur;1287;0.948
Carcar;156;0.993
Carcit;1;0.162
Cerbra;77;0.923
Chadub;1;0.229
Chlchl;244;0.987
Chrrid;51;0.903
Cicatr;58;0.773
Cicbre;639;1
Ciccic;3151;1
Cicorn;33;0.694
Cincin;2;0.249
Cirgal;1;0.327
Cisjun;4;0.379
Coccoc;8;0.486
Colmon;60;0.983
Colpal;41;0.739
Corcor;302;0.949
Corcor2;18;0.766
Corfru;2;0.511
Corgar;8;0.419
Cotcot;57;0.991
Crecre;7;0.684
Cyacae;13;0.461
Decalb;73;0.874
Delurb;202;0.998
Denmaj;1612;0.992
Egrgar;2;0.334
Embcia;7;0.997
Embcir;277;0.864
Embcit;3647;0.999
Embmel;4;0.724
Embsch;3;0.844
Epical;242;0.976
Erirub;2748;1
Eumbor;682;1
Falcol;9;0.759
Faltin;56;0.8
Fichyp;1170;0.993
Fricoe;277;0.825
Frimon;1;0.133
Galcri;2;0.375
Galgal;5;0.797
Gallus;126;0.926
Gligli;1;0.305
Grugru;8;0.872
Grycam;13161;1
Grygry;3;0.39
Grysp;20;0.84
Haeost;19;0.529
Hippol;1;0.554
Hirrus;15;0.973
Homsap;1135;0.997
Hylarb;288;0.991
Hylmer;254;0.968
Laglag;7;0.371
Lagmut;104;0.738
Lansen;20;0.565
Larcan;3;0.294
Larmar;3;0.483
Lincan;439;0.82
Loclus;228;0.956
Locnae;997;0.977
Loxcur;3;0.307
Lularb;908;0.974
Lusmeg;407;0.995
Lyrple;15;0.966
Merapi;7;0.477
Motalb;3;0.438
Motcin;2;0.535
Motfla;5;0.58
Nemsyl;54;0.899
Netruf;1;0.407
noise;60204;1
Numarq;35;0.885
Numpha;26;0.769
Nycnyc;469;0.978
Oecpel;2321;0.996
Oriori;2;0.683
Otusco;7;0.701
Panbia;5;0.436
Parmaj;148;0.975
Pasdom;88;0.974
Pasmon;17;0.684
Pelesc;81;0.953
Pelrid;226;0.988
Perate;15;0.519
Phacol;2;0.309
Phofem;140;0.862
Phogri;526;0.951
Phooch;234;0.96
Phopho;71;0.915
Phoros;21;0.621
Phybon;3;0.607
Phycol;45;0.956
Physib;9;0.698
Phytro;14;0.687
Piccan;7;0.359
Picpic;39;0.976
Picvir;9;0.345
Poemon;9;0.584
Poepal;661;0.929
Prumod;57;0.952
Ptehey;133;0.928
Pyrgra;1;0.315
Pyrpyr;11;0.715
Pyrpyr2;6;0.575
Regign;154;0.947
Regreg;153;0.873
Riprip;41;0.948
Saxrub;1;0.22
Saxrub2;3;0.28
Scorus;639;1
Serser;298;0.996
Siteur;129;0.826
Spispi;2;0.412
Stehir;18;0.746
Stralu;1080;1
Strdec;45;0.929
Sylatr;5318;0.996
Sylbor;1;0.34
Sylcan;4;0.711
Sylcom;21;0.657
Sylcon;6;0.4
Sylcur;7;0.328
Sylmel;29;0.512
Sylund;1;0.433
Tadtad;25;0.802
Tetvir;27350;1
Trioch;7;0.563
Tritot;93;0.795
Trotro;2113;0.991
Turili;298;0.997
Turmer;2783;1
Turphi;8453;1
Turvis;3655;0.989
Tytalb;46;0.976
Urorug;158;0.873
Vanvan;14;0.974
