Group.1;Group.2;x
Car441461-2020-Pass2-G1-VC1-SNPN_tdauda.txt;Acraru;0.742
Car721035-2020-Pass1-Z2-PaRecAR628069_tdauda.txt;Acraru;0.277
Car910028-2016-Pass3-Z6-M-015652_tdauda.txt;Acraru;0.236
Car451153-2015-Pass1-Z2-VC1-NOGENT-VERNI_tdauda.txt;Acrpal;0.331
Car400355-2019-Pass1-Z2-M500-BR_tdauda.txt;Acrsch;0.855
Car420420-2016-Pass1-Z12-07-160628_tdauda.txt;Acrsch;0.663
Car420420-2017-Pass2-Z11-SMXUS0-005248_tdauda.txt;Acrsch;0.396
Car440084-2015-Pass1-Z2-J-HA8001-017601_tdauda.txt;Acrsch;0.141
Car451153-2015-Pass1-Z2-VC1-NOGENT-VERNI_tdauda.txt;Acrsch;0.519
Car540284-2020-Pass1-Z1-S4U04785_tdauda.txt;Acrsch;0.787
Car590761-Pass1-2018-Z2-SMXU1-S4U06_tdauda.txt;Acrsch;0.417
Car741054-2019-Pass1-Z4-MC32-001_tdauda.txt;Acrsch;0.418
Car770685-2015-Pass1-Z1-C-C50HBE2-011693_tdauda.txt;Acrsch;0.188
Car830625-2016-Pass2-C1-VC1-7782195_tdauda.txt;Acrsch;0.675
Car860898-2017-Pass1-Z1-U1017992_tdauda.txt;Acrsch;0.961
Car881323-2017-Pass1-Z1-88DAR268-47_tdauda.txt;Acrsch;0.434
Car420420-2016-Pass1-Z12-07-160628_tdauda.txt;Acrsci;0.36
Car750024-2018-Pass1-Z7-Seoul-Gyeongui014864KR-GLI_tdauda.txt;Acrsci;0.3
Car850652-2020-Pass1-Z2-AM1_tdauda.txt;Acrsci;0.504
Car860898-2017-Pass1-Z1-U1017992_tdauda.txt;Acrsci;0.339
Car741054-2019-Pass1-Z4-MC32-001_tdauda.txt;Acthyp;0.623
Car830672-2019-Pass1-Z1-MU201077-S4U04817-S4U04817_tdauda.txt;Acthyp;0.245
Car851564-2018-Pass1-Z1-SMXU1B-017908_tdauda.txt;Acthyp;0.553
Car440084-2015-Pass1-Z2-J-HA8001-017601_tdauda.txt;Aegcau;0.368
Car440400-2015-Pass1-Z4-E-EA252-017232_tdauda.txt;Aegcau;0.148
Car510597-2019-Pass1-Z4-51MEN64-2_tdauda.txt;Aegcau;0.224
Car560459-2015-Pass1-Z1-C-EC2003-011693_tdauda.txt;Aegcau;0.55
Car660136-2019-Pass1-Z1-BL01-SN1919-0_tdauda.txt;Aegcau;0.937
Car721035-2020-Pass1-Z2-PaRecAR628069_tdauda.txt;Aegcau;0.281
Car770294-2017-Pass1-Z2-BOUGIVAL_tdauda.txt;Aegcau;0.287
Car811214-2018-Pass1-Z5-58S2_tdauda.txt;Aegcau;0.35
Car830672-2019-Pass1-Z1-MU201077-S4U04817-S4U04817_tdauda.txt;Aegcau;0.236
Car830885-2018-Pass2-Z3-PDMAJEU2_tdauda.txt;Aegcau;0.475
Car860898-2017-Pass1-Z1-U1017992_tdauda.txt;Aegcau;0.458
Car721035-2020-Pass1-Z2-PaRecAR628069_tdauda.txt;Aixgal;0.282
Car420370-2016-Pass1-Z5-06-160618_tdauda.txt;Alaarv;0.596
Car420420-2016-Pass1-Z12-07-160628_tdauda.txt;Alaarv;0.948
Car420420-2017-Pass2-Z11-SMXUS0-005248_tdauda.txt;Alaarv;0.802
Car440084-2015-Pass1-Z2-J-HA8001-017601_tdauda.txt;Alaarv;0.617
Car441461-2020-Pass2-G1-VC1-SNPN_tdauda.txt;Alaarv;0.638
Car450542-2019-Pass1-Z1-11787_tdauda.txt;Alaarv;0.413
Car451153-2015-Pass1-Z2-VC1-NOGENT-VERNI_tdauda.txt;Alaarv;0.979
Car470028-2017-Pass1-Z1-CEN2-S2U17907_tdauda.txt;Alaarv;0.547
Car480749-2020-Pass1-Z1-014864_tdauda.txt;Alaarv;0.784
Car481050-2019-Pass2-Z1-340141_tdauda.txt;Alaarv;0.321
Car481182-2016-Pass1-Z9-017573_tdauda.txt;Alaarv;0.992
