Var1;Freq;x
Aegcaud;1;0.32
Alaarve;30;0.13
Alcatth;2;0.2
Anttriv;4;0.16
Apuapus;4;0.98
Apumelb;1;0.2
Ardcine;6;0.32
Athnoct;78;0.2
Buroedi;17;0.69
Butbute;2;0.19
Cerbrac;36;0.98
Coloena;4;0.45
Colpalu;12;0.75
Corfrug;2;0.4
Cotcotu;6;0.12
Cuccano;1;0.1
Delurbi;1;0.16
Denmajo;2;0.13
Drymart;2;0.21
Egrgarz;1;0.18
Embcirl;4;0.38
Embcitr;3;0.17
Erirube;25;0.91
Faltinn;9;0.96
Fricoel;9;0.25
Fulatra;1;0.33
Galchlo;8;0.58
Lancoll;2;0.22
Lopcris;3;0.95
Lusmega;23;0.8
Milmigr;1;0.11
Milmilv;1;0.15
Musstri;3;0.17
Nycnyct;3;0.26
Oriorio;11;0.79
Parmajo;1;0.1
Pasdome;68;0.67
Pasmont;1;0.2
Perater;1;0.13
Phacarb;2;0.19
Phoochr;13;0.97
Phybone;4;0.13
Phycoll;2;0.33
Poepalu;2;0.25
Recavos;2;0.17
Regigni;1;0.19
Ripripa;1;0.12
Serseri;1;0.14
Spaclyp;1;0.12
Straluc;53;0.8
Sylatri;8;0.38
Tadtado;6;0.5
Triochr;46;0.22
Trotrog;45;0.85
Turmeru;20;0.5
Turvisc;2;0.17
