Var1;Freq
Aegcaud;4
Alaarve;32
Alcatth;4
Antcamp;2
Anttriv;4
Apuapus;4
Apumelb;1
Ardcine;63
Ardpurp;2
Athnoct;85
Buroedi;35
Butbute;3
Cerbrac;39
Cetcett;1
Chadubi;1
Coloena;4
Colpalu;14
Corcora;1
Corcoro;1
Corfrug;3
Cotcotu;7
Cuccano;2
Cyacaer;1
Delurbi;1
Denmajo;5
Drymart;3
Egrgarz;2
Embcirl;10
Embcitr;3
Erirube;274
Faltinn;10
Fichypo;1
Fricoel;9
Fulatra;1
Galchlo;8
Garglan;1
Hirrust;1
Lancoll;2
Lopcris;4
Lularbo;2
Lusmega;67
Milmigr;1
Milmilv;2
Motcine;1
Motflav;1
Musstri;19
Nycnyct;6
Oriorio;11
Parmajo;1
Pasdome;68
Pasmont;1
Perater;2
Phacarb;7
Phoochr;13
Phybone;5
Phycoll;2
Phyiber;2
Poepalu;16
Recavos;3
Regigni;9
Ripripa;1
Serseri;1
Siteuro;1
Spaclyp;1
Straluc;140
Sylatri;142
Sylbori;1
Tacrufi;15
Tadtado;6
Triochr;56
Tritota;1
Trotrog;45
Turmeru;40
Turphil;24
Turvisc;5
