Var1;Freq
Acrscir;1
Aegcaud;4
Alaarve;32
Alcatth;7
Antcamp;2
Anttriv;5
Apuapus;4
Apumelb;1
Ardcine;64
Ardpurp;2
Athnoct;176
Buroedi;125
Butbute;4
Cerbrac;42
Cetcett;1
Chadubi;1
Coloena;16
Colpalu;50
Corcora;2
Corcoro;1
Corfrug;3
Cormone;5
Cotcotu;7
Cuccano;2
Cyacaer;1
Delurbi;1
Denmajo;20
Denmedi;17
Drymart;3
Egrgarz;6
Embcirl;10
Embcitr;3
Erirube;396
Faltinn;10
Fichypo;13
Fricoel;23
Fulatra;1
Galchlo;8
Garglan;1
Hiepenn;1
Hirrust;1
Lancoll;3
Lopcris;5
Lularbo;2
Lusmega;67
Milmigr;1
Milmilv;3
Motcine;1
Motflav;1
Musstri;47
Nycnyct;10
Oriorio;20
Parmajo;112
Pasdome;68
Pasmont;1
Perater;4
Phacarb;7
Phoochr;13
Phybone;6
Phycoll;3
Phyiber;4
Picviri;18
Poepalu;21
Recavos;3
Regigni;16
Ripripa;1
Serseri;1
Siteuro;7
Spaclyp;1
Straluc;194
Strdeca;12
Sylatri;146
Sylbori;2
Tacrufi;15
Tadtado;6
Triochr;56
Tritota;1
Trotrog;57
Turmeru;76
Turphil;165
Turvisc;8
Vanvane;1
