Classe
Acafla
Accnis
Acraru
Acrpal
Acrpal2
Acrsch
Acrsci
Acthyp
Aegcau
Aixgal
Alaarv
Alcatt
Alegra
Aleruf
Aloaeg
Alyobs
Anaacu
Anacre
Anapla
Ansans
Antcam
Antpra
Antspi
Anttri
Apuapu
Aquchr
Ardalb
Ardcin
Ardpur
Areint
Asiotu
Athnoc
Aytfer
Aytful
Bracan
Bubbub
Bubibi
Buroed
Butbut
Calalp
Calbra
Canfam
Capcap
Capeur
Carcar
Carcit
Cecdau
Cerbra
Cerfam
Cetcet
Chadub
Chahia
Chlchl
Chlhyb
Chrrid
Cicatr
Cicbre
Ciccic
Cicorn
Cincin
Ciraer
Cirgal
Cirpyg
Cisjun
Clagla
Coccoc
Colliv
Colmon
Coloen
Colpal
Corcor
Corcor2
Corfru
Corgar
Cotcot
Crecre
Cuccan
Cyacae
Cygolo
Decalb
Delurb
Denmaj
Drymin
Egrgar
Embcal
Embcia
Embcir
Embcit
Embhor
Embmel
Embsch
Epical
Erealp
Erirub
Eumbor
Eupcha
Euptyr
Falcol
Falnau
Falper
Falsub
Faltin
Falves
Ficalb
Fichyp
Fricoe
Frimon
Fulatr
Galchl
Galcri
Galgal
Gallus
Gargla
Gligli
Grugru
Grycam
Grygry
Grysp
Haeost
Hiepen
Himhim
Hipict
Hippol
Hirrus
Homsap
Hylarb
Hylmer
Ichmel
Idupal
Ixomin
Jyntor
Laglag
Lagmut
Lancol
Lanexc
Lanmer
Lansen
Lararg
Larcan
Larfus
Larmar
Larmic
Limlim
Lincan
Loclus
Locnae
Lopcri
Loxcur
Lularb
Luslus
Lusmeg
Lussve
Lyrple
Lyrtet
Melcal
Merapi
Milmig
Milmil
Monsax
Motalb
Motcin
Motfla
Musstr
Nemsyl
Netruf
Nuccar
Numarq
Numpha
Nycnyc
Oecpel
Oenoen
Oriori
Otusco
Panbia
Panhal
Parmaj
Pasdom
Pasita
Pasmon
Pelesc
Pelrid
Perapi
Perate
Perper
Petpet
Phacol
Phofem
Phogri
Phooch
Phopho
Phoros
Phybon
Phycol
Physib
Phytro
Piccan
Picpic
Picvir
Plaleu
Pluapr
Plusqu
Podcri
Poemon
Poepal
Prucol
Prumod
Psikra
Ptehey
Ptyrup
Pyrgra
Pyrpyr
Pyrpyr2
Ralaqu
Recavo
Regign
Regreg
Riprip
Rusnit
Saxrub
Saxrub2
Scorus
Serser
Siteur
Spispi
Stealb
Stehir
Stralu
Strdec
Strtur
Stuvul
Sylatr
Sylbor
Sylcan
Sylcom
Sylcon
Sylcur
Sylhor
Sylmel
Sylund
Tadtad
Tettet
Tetvir
Triery
Trigla
Trineb
Trioch
Tritot
Trotro
Turili
Turmer
Turphi
Turpil
Turtor
Turvis
Tytalb
Upuepo
Urorug
Vanvan
Vulvul
noise
