numcla;sous-cas;nbepoch;numbase;moteur;batch-size;dimx;dimy;ndense
10402;3;88;10400;2;8;500;128;512
10500;1;69;10500;2;8;500;128;512
10500;2;90;10500;2;8;500;128;512
10500;3;87;10500;2;8;500;128;512
10501;1;33;10500;2;8;500;128;512
10501;2;65;10500;2;8;500;128;512
10501;3;74;10500;2;8;500;128;512
10501;4;86;10500;2;8;500;128;512
10800;1;89;10800;2;8;500;128;512
10800;2;87;10800;2;8;500;128;512
10801;1;89;10800;2;8;500;128;512
10801;2;67;10800;2;8;500;128;512
10801;3;58;10800;2;8;500;128;512
10801;4;86;10800;2;8;500;128;512
10502;1;86;10500;2;4;500;128;512
10802;1;90;10800;2;4;500;128;512
10803;1;120;10800;2;8;500;128;512
10803;2;90;10800;2;8;500;128;512
10803;3;93;10800;2;8;500;128;512
10500;4;89;10500;2;8;500;128;512
10501;5;77;10500;2;8;500;128;512
10501;6;89;10500;2;8;500;128;512
7500;1;79;7300;2;4;500;128;512
7600;1;71;7300;2;4;500;128;512
7600;2;86;7300;2;4;500;128;512
11000;1;79;11000;2;8;500;128;512
11000;2;82;11000;2;8;500;128;512
11000;3;86;11000;2;8;500;128;512
11000;4;90;11000;2;8;500;128;512
11200;1;58;11200;2;4;500;128;512
11200;2;75;11200;2;4;500;128;512
10550;1;75;10550;2;8;500;128;512
11300;1;85;11300;2;8;500;128;512
11400;1;83;11400;2;8;500;128;512
11500;1;75;11500;2;8;500;128;512
11500;2;70;11500;2;8;500;128;512
11500;3;81;11500;2;8;500;128;512
11501;1;68;11500;2;8;500;128;512
11501;2;85;11500;2;8;500;128;512
11600;1;75;11600;2;8;500;128;512
11600;2;89;11600;2;8;500;128;512
11600;3;55;11600;2;8;500;128;512
11600;4;56;11600;2;8;500;128;512
7700;1;42;7700;2;4;500;128;512
11601;1;77;11600;2;8;500;128;512
11601;2;79;11600;2;8;500;128;512
11601;3;83;11600;2;8;500;128;512
11602;1;84;11600;2;4;500;128;512
11602;2;87;11600;2;4;500;128;512
11602;3;90;11600;2;4;500;128;512
11700;1;71;11700;2;8;500;128;512
11700;2;80;11700;2;8;500;128;512
11800;1;57;11800;2;8;500;128;512
11800;2;88;11800;2;8;500;128;512
19100;1;8;19100;2;4;500;128;512
19200;1;29;19200;2;4;500;128;512
19220;1;22;19200;2;4;500;128;512
19220;2;29;19200;2;4;500;128;512
19220;3;14;19200;2;4;500;128;512
19240;1;21;19240;2;4;500;128;512
11900;1;73;11900;2;8;500;128;512
11910;1;67;11910;2;8;500;128;512
11900;2;90;11900;2;8;500;128;512
11910;2;75;11910;2;8;500;128;512
11220;1;71;11200;2;8;500;128;512
11220;2;80;11200;2;8;500;128;512
11820;1;75;11820;2;8;500;128;512
11820;2;86;11820;2;8;500;128;512
11820;3;89;11820;2;8;500;128;512
13100;1;75;13100;2;4;500;128;512
13200;1;71;13200;2;4;500;128;512
13300;1;66;13300;2;4;500;128;512
13928;1;85;13928;2;4;500;128;512
13928;2;86;13928;2;4;500;128;512
13120;1;70;13100;2;8;500;128;512
13927;1;87;11200;2;8;500;128;512
13111;1;84;19240;2;8;500;128;512
13111;2;90;19240;2;8;500;128;512
13929;1;65;13928;2;8;500;128;512
13929;2;72;13928;2;8;500;128;512
13929;3;73;13928;2;8;500;128;512
19231;1;73;13100;2;8;500;128;512
13110;1;69;13100;2;8;500;128;512
13115;1;67;13100;2;8;500;128;512
13130;1;85;13100;2;8;500;128;512
13140;1;82;13100;2;8;500;128;512
13140;2;89;13100;2;8;500;128;512
13150;1;89;13100;2;8;500;128;512
13150;2;90;13100;2;8;500;128;512
11240;1;85;11200;2;8;500;128;512
11840;1;77;11820;2;8;500;128;512
15110;1;82;13100;2;8;500;128;512
15120;1;79;13100;2;8;500;128;512
15210;1;75;13100;2;8;500;128;512
15220;1;83;13100;2;8;500;128;512
15230;1;87;13100;2;8;500;128;512
15410;1;85;13100;2;8;500;128;512
15130;1;81;13100;2;8;500;128;512
15460;1;78;13100;2;8;500;128;512
15470;1;80;13100;2;8;500;128;512
15470;2;76;13100;2;8;500;128;512
15470;3;88;13100;2;8;500;128;512
15420;1;78;13100;2;8;500;128;512
15480;1;85;13100;2;8;500;128;512
16100;1;89;16100;2;8;500;128;512
16110;1;86;16100;2;8;500;128;512
16120;1;86;16100;2;8;500;128;512
16130;1;87;16100;2;8;500;128;512
11520;1;90;11500;2;8;500;128;512
15240;1;77;13100;2;8;500;128;512
16200;1;88;16100;2;8;500;128;512
16210;1;89;16100;2;8;500;128;512
16220;1;90;16100;2;8;500;128;512
16230;1;84;16100;2;8;500;128;512
15140;1;80;13100;2;8;500;128;512
15250;1;79;13100;2;8;500;128;512
16300;1;74;16300;2;8;500;128;512
16310;1;80;16300;2;8;500;128;512
16320;1;79;16300;2;8;500;128;512
